"","text","score","klasifikasi"
"357","now you must convict trump ensure he can never stand again without using it as an excuse to de",-1,"Negatif"
"358","it s not just that these inciters roger stone steve bannon amp mike flynn all worked for trump it s that he pardoned o",0,"Netral"
"359","trump s dogs of war were out in portland today 

the scum will be an ongoing problem these proud ungovernable se",0,"Netral"
"360","how will donald trump be treated when he leaves office 
he ll be treated the same as any other convict in a federal",-1,"Negatif"
"361","convict trump and make it so he can never run for elected office again you need to step up trump",-1,"Negatif"
"362","senator mcconnell should work with us now we all need to work together",0,"Netral"
"363","you don t get to throw matches on dry timber then deny you lit the fire 

criminal x i",0,"Netral"
"364","it was not peaceful i was preceded by just days with a violent trump incited attempted insur",0,"Netral"
"365","then vote to convict trump again otherwise don t open your mouth",-1,"Negatif"
"366","please vote to convict former president trump i think barring him from running for public office",-1,"Negatif"
"367","now you need to convict trump",-1,"Negatif"
"368","i urge you to vote to convict trump and to hold his enablers accountable do your duty for",-1,"Negatif"
"369","",0,"Netral"
"370","yes if the gop senate could rush amy coney barrett to the scotus during a pandemic and while americans",0,"Netral"
"371","i urge you to vote to convict trump and to hold his enablers accountable do your",-1,"Negatif"
"372","i urge you to vote to convict trump and to hold his enablers accountable do your du",-1,"Negatif"
"373","trump didn t learn his lesson and did even worse we almost lost our democracy you must convict tru",-1,"Negatif"
"374","we expect you to vote to convict trump the insurrection can not go unpublished",-1,"Negatif"
"375","i ll believe those words when you carry out justice and impeach and convict trump",-1,"Negatif"
"376","you must convict trump he can never hold office again",-1,"Negatif"
"377","millions of people have already left the republican party many elected republicans back stabbed",0,"Netral"
"378","as a republican we should convict the crimes of trump inciting the rioters that en",-1,"Negatif"
"379","the senate needs to convict trump for inciting an insurrection you cannot violate the constitution and get away wi",-1,"Negatif"
"380","if you re collectively too frightened to convict treasonous trump stay the hell home and the dems will do the hard work",0,"Netral"
"381","convict trump now",-1,"Negatif"
"382","if you pardon julian assange we are much more likely to convict you in an impeachment trial mitch mcconnell",-1,"Negatif"
"383","i hope they all lie to him and say they ll vote to acquit and then convict his ass 

trump is already calling sena",-1,"Negatif"
"384","has spoken to at length about the pardons he assured trump that the senate trial will fail to con",0,"Netral"
"385","unfortunately it s only over for the moment will try again latest therefore it s important",0,"Netral"
"386","to convict trump",-1,"Negatif"
"387","trump s last pandemic war stand the capitol insurrection successfully obliterated news of the deadliest continuing atta",0,"Netral"
"388","convict trump impeach jordan",-1,"Negatif"
"389","convict trump cuz he s going after the republican party you can stop him from entering politics e",-1,"Negatif"
"390","lord please convict mr clyburn of the horrible comments he made about president trump this type o",-1,"Negatif"
"391","seeing trump s taxes killing covid reading full mueller report watching donald do a perp walk reuniting",0,"Netral"
"392","the fact that he s arriving to the same song they blared as the whipped up the mob that stormed the capitol it s the same dog whi",0,"Netral"
"393","senate republicans must vote to convict trump 
conservatives must also reject faux populist politics that means activel",-1,"Negatif"
"394","every single person who does not vote to convict will wear the trump stain for the",-1,"Negatif"
"395","idk i think the senate may just convict trump",-1,"Negatif"
"396","sends out a warning to not to convict no one needs to listen to him sad",-1,"Negatif"
"397","now do something for the country convict trump for causing a riot which resulted in deaths he cannot get away with treason",-1,"Negatif"
"398","vote to convict vote to remove hawley and cruz then start purging the trump loyalists from the republican party",-1,"Negatif"
"399","will try again latest therefore it s important majority of senat in process not on",0,"Netral"
"400","next step convict trump",-1,"Negatif"
"401","where were you when trump amp his hateful maga supporters amp were shouting lock her up",0,"Netral"
"402","hey remember the whole maga line in 
 elections have consequences 

vote to convict trump t",-1,"Negatif"
"403","i urge you to convict trump and make sure he s never again on the government s payroll what s that",-1,"Negatif"
"404","convict trump our elderly are getting bombarded with propaganda that incites fighting and they are c",-2,"Negatif"
"405","if the senate republicans vote to convict president trump i will change my party affiliation",-1,"Negatif"
"406","nice but now its time to pull up your big boy pants and convince the gop to convict trump hes a cr",-1,"Negatif"
"407","i think the trump sign is a good reason to convict him in the senate amp vote he can ne",-1,"Negatif"
"408","i m not going to lose my son at the end of and lose my country in s profoundly moving words abou",0,"Netral"
